Id,Creation Time,Tags,network_name,Task,Model,MOGen_max_order,MOGen_n_walks,n_start_nodes,MOGen_training_mode,training_dates,n_training_paths,eval_mode,failure_rate,mean_abs_err,median_abs_err,test_dates,n_test_paths,selection_start,selection_end,selection_step,Running Time
ROUT-52,2023-11-27 08:34:17,[],,,,,,,,,,,,,,,,,,,2773.467
ROUT-51,2023-11-27 07:26:14,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,5,200,4,partial,"['202204', '202205']",2927,path,0.18528252299605782,155.13492988022264,34.63164840437472,['202206'],761,0,1521,2,4082.496
ROUT-50,2023-11-27 06:16:14,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,500,4,partial,"['202204', '202205']",2927,path,0.13009198423127463,146.38281114679472,32.47440469172117,['202206'],761,0,1521,2,4200.327
ROUT-49,2023-11-27 03:50:07,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,5,1000,3,partial,"['202204', '202205']",2927,path,0.13797634691195795,157.45644201551863,39.28586330753299,['202206'],761,0,1521,2,8746.082
ROUT-48,2023-11-27 03:03:28,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,200,3,partial,"['202204', '202205']",2927,path,0.13009198423127463,171.51966146149388,40.46956637922478,['202206'],761,0,1521,2,2798.085
ROUT-47,2023-11-27 02:13:48,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,500,3,partial,"['202204', '202205']",2927,path,0.07752956636005257,179.5530444367937,38.87169939551869,['202206'],761,0,1521,2,2980.205
ROUT-46,2023-11-27 00:21:19,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,1000,2,partial,"['202204', '202205']",2927,path,0.09986859395532194,155.29445282298167,39.04858065595999,['202206'],761,0,1521,2,6748.603
ROUT-45,2023-11-26 23:48:47,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,200,2,partial,"['202204', '202205']",2927,path,0.08804204993429698,168.2661021456009,44.52856624661011,['202206'],761,0,1521,2,1931.428
ROUT-44,2023-11-26 23:15:28,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,2,500,2,partial,"['202204', '202205']",2927,path,0.04467805519053877,158.5963512951166,42.952838959771306,['202206'],761,0,1521,2,1978.449
ROUT-43,2023-11-26 19:47:50,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,6,200,4,partial,"['202204', '202205']",2927,path,0.21287779237844942,118.88132946346497,32.82415805629731,['202206'],761,0,1521,2,5592.041
ROUT-42,2023-11-26 18:16:11,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,5,500,4,partial,"['202204', '202205']",2927,path,0.19316688567674112,147.01907991430213,36.50233190016478,['202206'],761,0,1521,2,5478.229
ROUT-41,2023-11-26 16:23:41,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,1000,4,partial,"['202204', '202205']",2927,path,0.13009198423127463,142.69670350894953,31.82624521380899,['202206'],761,0,1521,2,6730.186
ROUT-40,2023-11-26 15:23:16,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,5,200,3,partial,"['202204', '202205']",2927,path,0.1366622864651774,157.56893849265848,36.99275310073605,['202206'],761,0,1521,2,3604.519
ROUT-39,2023-11-26 14:14:42,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,500,3,partial,"['202204', '202205']",2927,path,0.13797634691195795,156.2821551254848,38.48941609190991,['202206'],761,0,1521,2,4093.206
ROUT-38,2023-11-26 12:54:21,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,1000,3,partial,"['202204', '202205']",2927,path,0.07752956636005257,183.47011770776456,37.66683286419138,['202206'],761,0,1521,2,4820.876
ROUT-37,2023-11-26 12:07:32,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,200,2,partial,"['202204', '202205']",2927,path,0.09724047306176084,159.12127225863435,38.6027869121712,['202206'],761,0,1521,2,2808.944
ROUT-36,2023-11-26 11:19:42,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,500,2,partial,"['202204', '202205']",2927,path,0.08804204993429698,162.8227105285645,38.60904343233627,['202206'],761,0,1521,2,2849.741
ROUT-35,2023-11-26 10:27:46,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,2,1000,2,partial,"['202204', '202205']",2927,path,0.04467805519053877,166.1828484697372,46.40985487931177,['202206'],761,0,1521,2,3115.382
ROUT-32,2023-11-25 21:49:28,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,200,1,full,"['202204', '202205']",2927,path,0.01576872536136662,194.00990095074076,55.32496941339524,['202206'],761,0,1521,2,3432.448
ROUT-31,2023-11-25 21:11:01,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,200,1,full,"['202204', '202205']",2927,path,0.01576872536136662,195.03129677032692,47.30458618315912,['202206'],761,0,1521,2,2286.485
ROUT-30,2023-11-25 20:47:00,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,2,200,1,full,"['202204', '202205']",2927,path,0.013140604467805518,201.00167157632234,58.64041494166022,['202206'],761,0,1521,2,1440.349
ROUT-29,2023-11-25 20:30:40,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,1,200,1,full,"['202204', '202205']",2927,path,0.002628120893561104,217.77928921589955,64.65825111205697,['202206'],761,0,1521,2,980.206
ROUT-28,2023-11-25 18:50:15,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,500,1,full,"['202204', '202205']",2927,path,0.01576872536136662,197.0048575499172,50.547248824480086,['202206'],761,0,1521,2,6024.614
ROUT-27,2023-11-25 17:47:37,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,500,1,full,"['202204', '202205']",2927,path,0.018396846254927726,196.90955569029052,45.09708610900039,['202206'],761,0,1521,2,3757.223
ROUT-26,2023-11-25 17:12:14,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,2,500,1,full,"['202204', '202205']",2927,path,0.017082785808147174,210.13559709603146,57.95818531484949,['202206'],761,0,1521,2,2102.68
ROUT-25,2023-11-25 16:49:59,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,1,500,1,full,"['202204', '202205']",2927,path,0.009198423127463863,194.01375252014677,69.06002245671077,['202206'],761,0,1521,2,1335.138
ROUT-24,2023-11-25 13:48:35,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,1000,1,full,"['202204', '202205']",2927,path,0.01576872536136662,194.46826396471016,52.688618789002504,['202206'],761,0,1521,2,10883.361
ROUT-23,2023-11-25 12:00:32,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,1000,1,full,"['202204', '202205']",2927,path,0.018396846254927726,198.14549698531545,45.09708610900039,['202206'],761,0,1521,2,6482.265
ROUT-22,2023-11-25 11:04:31,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,2,1000,1,full,"['202204', '202205']",2927,path,0.017082785808147174,214.581941766866,55.90272845797078,['202206'],761,0,1521,2,3340.361
ROUT-21,2023-11-25 10:31:56,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,1,1000,1,full,"['202204', '202205']",2927,path,0.009198423127463863,187.760618433772,69.66908613058261,['202206'],761,0,1521,2,1935.116
ROUT-20,2023-11-25 04:06:18,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,4,200,1,partial,"['202204', '202205']",2927,path,0.03942181340341656,168.96435261000119,49.06158334740685,['202206'],761,0,1521,2,2354.309
ROUT-19,2023-11-25 03:35:47,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,3,200,1,partial,"['202204', '202205']",2927,path,0.04204993429697766,167.33333761913593,44.06121444734032,['202206'],761,0,1521,2,1830.523
ROUT-18,2023-11-25 03:15:43,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,MOGen,2,200,1,partial,"['202204', '202205']",2927,path,0.03153745072273324,189.95829785195755,56.58819109861663,['202206'],761,0,1521,2,1203.643
